10000,,,,,,,,,,,,,,,,,,,,,,,
No.,Channel Reserved,,Dropped Call,,Blocked Call,Channel Reserved,,Dropped Call,,Blocked Call,,,,,,,,,,,,,
0,0,0.0052,52,0.003,30,1,0.0029,29,0.0103,103,37.7294,,,,,,,,,,,,
1,0,0.0067,67,0.005,50,1,0.0038,38,0.0121,121,61.3324,,,,Scheme,average No. of dropped call,average No. of blocked call,standard deviation of No. of dropped call,standard deviation of No. of blocked call,average % of dropped call rate,average % of blocked call rate,"standard
deviation
% Drop Call
Rate","standard
deviation
% Block Call
Rate"
62,0,0.005,50,0.0043,43,1,0.0023,23,0.0121,121,,,,,,,,,,,,,
63,0,0.0064,64,0.0037,37,1,0.0029,29,0.0125,125,,,,,,,,,,,,,
64,0,0.0073,73,0.0052,52,1,0.0031,31,0.0136,136,,,,,,,,,,,,,
65,0,0.0054,54,0.0038,38,1,0.0031,31,0.0096,96,,,,,,,,,,,,,
66,0,0.0063,63,0.005,50,1,0.0025,25,0.0144,144,,,,,,,,,,,,,
67,0,0.0052,52,0.0025,25,1,0.0028,28,0.0094,94,,,,,,,,,,,,,
68,0,0.006,60,0.0041,41,1,0.0031,31,0.0108,108,,,,,,,,,,,,,
69,0,0.006,60,0.0032,32,1,0.0035,35,0.0105,105,,,,,,,,,,,,,
70,0,0.0048,48,0.0034,34,1,0.0023,23,0.011,110,,,,,,,,,,,,,
71,0,0.0056,56,0.0039,39,1,0.0025,25,0.013,130,,,,,,,,,,,,,
72,0,0.0041,41,0.0029,29,1,0.0017,17,0.0097,97,,,,,,,,,,,,,
73,0,0.0074,74,0.0046,46,1,0.0028,28,0.0143,143,,,,,,,,,,,,,
74,0,0.0069,69,0.0027,27,1,0.0036,36,0.0114,114,,,,,,,,,,,,,
75,0,0.0067,67,0.0039,39,1,0.0037,37,0.0112,112,,,,,,,,,,,,,
76,0,0.0072,72,0.0043,43,1,0.0047,47,0.0119,119,,,,,,,,,,,,,
77,0,0.0065,65,0.0033,33,1,0.0027,27,0.0118,118,,,,,,,,,,,,,
78,0,0.0076,76,0.0048,48,1,0.003,30,0.0141,141,,,,,,,,,,,,,
79,0,0.0058,58,0.0028,28,1,0.0028,28,0.0112,112,,,,,,,,,,,,,
80,0,0.0066,66,0.0053,53,1,0.0032,32,0.0139,139,,,,,,,,,,,,,
81,0,0.0052,52,0.0041,41,1,0.0028,28,0.0113,113,,,,,,,,,,,,,
82,0,0.0093,93,0.0052,52,1,0.0056,56,0.0143,143,,,,,,,,,,,,,
83,0,0.006,60,0.0034,34,1,0.0035,35,0.0116,116,,,,,,,,,,,,,
84,0,0.0065,65,0.005,50,1,0.0034,34,0.0144,144,,,,,,,,,,,,,
85,0,0.006,60,0.0047,47,1,0.003,30,0.014,140,,,,,,,,,,,,,
86,0,0.0068,68,0.0044,44,1,0.0037,37,0.0125,125,,,,,,,,,,,,,
87,0,0.0057,57,0.0047,47,1,0.003,30,0.0133,133,,,,,,,,,,,,,
88,0,0.0071,71,0.0031,31,1,0.0038,38,0.0108,108,,,,,,,,,,,,,
89,0,0.0049,49,0.0033,33,1,0.0026,26,0.0105,105,,,,,,,,,,,,,
90,0,0.0061,61,0.004,40,1,0.0032,32,0.0125,125,,,,,,,,,,,,,
91,0,0.0049,49,0.0026,26,1,0.0026,26,0.0094,94,,,,,,,,,,,,,
92,0,0.007,70,0.0042,42,1,0.0033,33,0.0133,133,,,,,,,,,,,,,
93,0,0.009,90,0.0041,41,1,0.0048,48,0.013,130,,,,,,,,,,,,,
94,0,0.0077,77,0.005,50,1,0.0043,43,0.0128,128,,,,,,,,,,,,,
95,0,0.0083,83,0.0056,56,1,0.0037,37,0.0166,166,,,,,,,,,,,,,
96,0,0.0063,63,0.0034,34,1,0.003,30,0.0109,109,,,,,,,,,,,,,
97,0,0.0054,54,0.0028,28,1,0.0029,29,0.0107,107,,,,,,,,,,,,,
98,0,0.0072,72,0.0033,33,1,0.0038,38,0.0113,113,,,,,,,,,,,,,
99,0,0.0063,63,0.0027,27,1,0.0028,28,0.0117,117,,,,,,,,,,,,,
